epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2711,0.91624,2.38427,1.34267,0,0,0,0,0,163.326,0,0.000533333,0.000533333,0.000533333
2,21.0194,1.08387,1.60275,1.30785,0,0,0,0,0,176.99,0,0.00117624,0.00117624,0.00117624
3,28.8218,1.29137,2.01233,1.57455,0,0,0,0,0,221.151,0,0.00179275,0.00179275,0.00179275
4,36.3782,1.1641,1.76888,1.3984,0,0,0,0,0,586.132,0,0.0018812,0.0018812,0.0018812
5,43.7857,1.17905,1.75508,1.45204,0,0,0,0,0,1722.29,0,0.0018416,0.0018416,0.0018416
6,51.3154,1.1275,1.5981,1.42041,0,0,0,0,0,1575.03,0,0.001802,0.001802,0.001802
7,58.6652,1.11461,1.56302,1.4479,0,0,0,0,0,1354.06,0,0.0017624,0.0017624,0.0017624
8,65.9172,1.15177,1.47638,1.42002,0,0,0,0,0,535.503,0,0.0017228,0.0017228,0.0017228
9,73.1375,1.10041,1.51357,1.42397,0,0,0,0,0,846.069,0,0.0016832,0.0016832,0.0016832
10,80.6025,1.05522,1.47108,1.37849,0,0,0,0,0,489.728,0,0.0016436,0.0016436,0.0016436
11,87.9111,1.01413,1.31515,1.30729,0,0,0,0,0,584.131,0,0.001604,0.001604,0.001604
12,95.3481,1.07714,1.36462,1.36426,0,0,0,0,0,454.819,0,0.0015644,0.0015644,0.0015644
13,102.828,1.05752,1.3085,1.35351,0,0,0,0,0,380.588,0,0.0015248,0.0015248,0.0015248
14,110.476,1.0892,1.38354,1.43653,0,0,0,0,0,435.136,0,0.0014852,0.0014852,0.0014852
15,117.866,1.05283,1.29784,1.33389,0,0,0,0,0,478.013,0,0.0014456,0.0014456,0.0014456
16,125.38,1.01701,1.22232,1.34361,0,0,0,0,0,1105.23,0,0.001406,0.001406,0.001406
17,132.783,1.01363,1.26857,1.32577,0,0,0,0,0,308.115,0,0.0013664,0.0013664,0.0013664
18,138.445,0.952,1.15448,1.30009,0,0,0,0,0,323.134,0,0.0013268,0.0013268,0.0013268
19,143.721,1.01997,1.21921,1.35306,0,0,0,0,0,348.774,0,0.0012872,0.0012872,0.0012872
20,148.965,0.95373,1.13806,1.24846,0,0,0,0,0,333.987,0,0.0012476,0.0012476,0.0012476
21,154.194,0.97931,1.11914,1.27255,0,0,0,0,0,294.95,0,0.001208,0.001208,0.001208
22,159.548,1.00099,1.12441,1.30289,0,0,0,0,0,274.643,0,0.0011684,0.0011684,0.0011684
23,164.848,1.02599,1.23847,1.36918,0,0,0,0,0,272.521,0,0.0011288,0.0011288,0.0011288
24,170.126,0.93755,1.10856,1.26202,0,0,0,0,0,293.125,0,0.0010892,0.0010892,0.0010892
25,175.424,0.90128,1.09815,1.239,0,0,0,0,0,344.633,0,0.0010496,0.0010496,0.0010496
26,180.667,0.9122,1.10425,1.25667,0,0,0,0,0,335.52,0,0.00101,0.00101,0.00101
27,185.809,0.85567,1.03461,1.24628,0,0,0,0,0,301.679,0,0.0009704,0.0009704,0.0009704
28,191.044,0.867,0.9999,1.21063,0,0,0,0,0,284.741,0,0.0009308,0.0009308,0.0009308
29,196.46,0.84914,0.98234,1.20301,0,0,0,0,0,257.464,0,0.0008912,0.0008912,0.0008912
30,202.081,0.90684,1.0406,1.3039,0,0,0,0,0,245.037,0,0.0008516,0.0008516,0.0008516
31,208.058,0.92362,1.04532,1.27592,0,0,0,0,0,221.339,0,0.000812,0.000812,0.000812
32,213.985,0.78881,0.94476,1.13788,0,0,0,0,0,215.429,0,0.0007724,0.0007724,0.0007724
33,219.899,0.86337,0.94155,1.22328,0,0,0,0,0,213.317,0,0.0007328,0.0007328,0.0007328
34,225.781,0.81871,0.96807,1.19224,0,0,0,0,0,203.756,0,0.0006932,0.0006932,0.0006932
35,231.711,0.85677,0.92963,1.16664,0,0,0,0,0,216.118,0,0.0006536,0.0006536,0.0006536
36,237.605,0.85674,0.88668,1.2228,0,0,0,0,0,230.176,0,0.000614,0.000614,0.000614
37,243.535,0.77749,0.86332,1.15522,0,0,0,0,0,238.994,0,0.0005744,0.0005744,0.0005744
38,249.432,0.75402,0.81821,1.13743,0,0,0,0,0,242.689,0,0.0005348,0.0005348,0.0005348
39,255.386,0.7385,0.81574,1.14037,0,0,0,0,0,234.56,0,0.0004952,0.0004952,0.0004952
40,261.292,0.72028,0.82775,1.15439,0,0,0,0,0,233.591,0,0.0004556,0.0004556,0.0004556
41,283.367,0.72851,1.09305,1.17693,0,0,0,0,0,221.3,0,0.000416,0.000416,0.000416
42,289.543,0.7,0.97889,1.13513,0,0,0,0,0,208.394,0,0.0003764,0.0003764,0.0003764
43,295.935,0.65898,0.96862,1.06206,0,0,0,0,0,203.369,0,0.0003368,0.0003368,0.0003368
44,302.308,0.64667,0.99789,1.07951,0,0,0,0,0,197.589,0,0.0002972,0.0002972,0.0002972
45,308.609,0.65345,0.89264,1.09917,0,0,0,0,0,178.553,0,0.0002576,0.0002576,0.0002576
46,315.279,0.65193,0.86802,1.09387,0,0,0,0,0,183.25,0,0.000218,0.000218,0.000218
47,321.958,0.65595,0.85458,1.07488,0,0,0,0,0,189.507,0,0.0001784,0.0001784,0.0001784
48,328.771,0.65389,0.83901,1.09814,0,0,0,0,0,198.95,0,0.0001388,0.0001388,0.0001388
49,336.124,0.62251,0.88149,1.07767,0,0,0,0,0,213.929,0,9.92e-05,9.92e-05,9.92e-05
50,343.25,0.61152,0.85666,1.08568,0,0,0,0,0,222.072,0,5.96e-05,5.96e-05,5.96e-05
